ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Candidatus Micrarchaeota archaeon RBG_16_36_9,1,9,0,5,1,91,0,1,130,4,19,2,3,1,7,0,4,76,3,34,2,8
Candidatus Micrarchaeota archaeon RBG_16_49_10,3,2,1,5,0,48,0,1,61,4,8,1,0,1,1,0,5,54,1,10,4,0
Candidatus Nanosalina sp. J07AB43,2,1,2,22,3,24,0,1,23,8,1,2,4,2,2,7,2,27,12,5,9,0
Candidatus Nanosalinarum sp. J07AB56,1,3,0,0,11,18,0,0,19,0,5,6,4,0,0,0,1,7,1,5,1,2
Candidatus Haloredivivus sp. G17,0,4,2,0,6,16,0,0,13,0,2,1,0,0,0,1,1,23,0,3,0,2
Nanohaloarchaea archaeon SG9,0,2,1,2,7,22,0,1,30,0,0,1,0,1,0,0,0,26,1,9,0,1
Candidatus Odinarchaeota archaeon LCB_4,1,1,0,5,3,27,1,0,26,6,6,2,6,3,4,4,9,23,6,7,2,8
Candidatus Parvarchaeum acidiphilum,1,1,0,1,0,28,3,2,22,3,3,1,4,0,0,0,0,34,0,10,0,1
Candidatus Parvarchaeum acidophilus,2,3,1,1,4,11,3,1,19,2,3,0,0,3,0,0,0,16,6,3,1,4
Candidatus Thorarchaeota archaeon AB_25,14,4,1,6,12,22,3,9,19,7,19,3,4,5,11,9,6,39,13,22,9,11
Candidatus Thorarchaeota archaeon SMTZ-45,3,30,0,1,6,15,1,5,37,2,11,3,2,0,1,0,3,24,0,46,0,3
Candidatus Thorarchaeota archaeon SMTZ1-45,2,4,1,5,3,19,0,1,10,2,1,2,2,2,1,0,8,41,2,9,2,5
Candidatus Thorarchaeota archaeon SMTZ1-83,4,11,9,6,5,45,4,1,31,2,33,7,4,8,3,0,12,71,2,28,1,8
Candidatus Woesearchaeota archaeon CG1_02_33_12,19,32,2,10,46,620,4,4,574,5,37,6,4,4,12,6,16,305,6,159,4,13
Candidatus Woesearchaeota archaeon CG1_02_47_18,0,19,0,8,10,465,0,1,346,2,8,4,2,0,4,4,2,264,3,76,2,3
Candidatus Woesearchaeota archaeon CG1_02_57_44,6,14,5,12,27,300,3,2,302,16,10,4,11,8,26,10,15,307,24,107,3,3
Candidatus Woesearchaeota archaeon RBG_13_36_6,2,8,1,2,10,222,0,2,194,1,8,2,2,7,3,2,3,134,2,41,15,3
Crenarchaeota archaeon 13_1_20CM_2_51_8,0,4,4,0,6,14,0,1,13,4,3,2,0,1,2,0,1,41,0,4,0,2
Crenarchaeota archaeon 13_1_20CM_2_53_14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
Crenarchaeota archaeon 13_1_40CM_2_52_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Crenarchaeota archaeon 13_1_40CM_3_52_10,0,1,0,0,0,4,1,0,3,2,3,1,1,0,1,0,0,7,0,1,2,5
Crenarchaeota archaeon 13_1_40CM_3_52_17,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0
Crenarchaeota archaeon 13_1_40CM_3_52_4,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0
Crenarchaeota archaeon 13_1_40CM_3_53_5,0,3,0,1,2,7,1,1,14,0,0,0,0,1,0,1,0,11,1,3,0,4
uncultured crenarchaeote 29d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
uncultured crenarchaeote 57a5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
uncultured crenarchaeote 76h13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
uncultured crenarchaeote DeepAnt-EC39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0
uncultured crenarchaeote MCG,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,1,1,0,1
uncultured crenarchaeote,0,0,0,0,0,10,0,0,3,0,0,1,1,1,0,0,0,29,0,3,2,1
uncultured marine crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Acidilobus saccharovorans,2,2,0,0,1,6,0,1,14,0,2,1,0,0,1,0,0,4,1,1,0,1
Acidilobus sp. 7A,1,1,0,1,0,6,0,0,4,0,2,0,1,2,0,1,4,9,1,0,0,1
uncultured Acidilobus sp. CIS,0,0,2,0,0,2,0,0,0,2,4,0,0,0,0,0,1,4,0,3,0,0
uncultured Acidilobus sp. JCHS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
uncultured Acidilobus sp. MG,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0
uncultured Acidilobus sp. OSP8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0
Caldisphaera lagunensis,6,7,4,11,8,8,0,8,20,9,2,6,8,9,8,13,11,16,15,3,3,2
Aeropyrum camini,0,0,6,6,8,13,0,0,6,1,3,0,1,0,8,5,3,14,6,1,0,3
Aeropyrum pernix,3,4,0,3,17,16,0,1,7,1,3,0,3,0,0,1,0,32,2,12,1,2
Desulfurococcus amylolyticus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Desulfurococcus fermentans,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0
Desulfurococcus kamchatkensis,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0
Desulfurococcus mobilis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Desulfurococcus mucosus,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,1,0,0
Ignicoccus hospitalis,2,2,1,2,1,17,0,2,15,7,6,1,3,0,1,4,5,20,5,2,0,1
Ignicoccus islandicus,0,1,1,8,3,16,0,0,11,2,0,1,0,0,0,0,1,27,1,4,0,0
Ignisphaera aggregans,2,8,1,8,3,14,1,0,16,3,12,4,3,1,1,1,14,18,1,9,4,1
uncultured Ignisphaera sp.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Desulfurococcaceae archaeon EBI-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Staphylothermus hellenicus,0,1,0,1,4,5,0,2,5,2,0,0,0,0,0,0,0,6,1,3,0,0
Staphylothermus marinus,2,2,1,0,0,5,0,2,9,0,1,1,1,1,0,0,1,9,2,0,0,0
Thermogladius cellulolyticus,1,1,3,1,4,13,0,2,13,2,5,3,0,1,3,0,3,21,2,9,3,1
Thermosphaera aggregans,2,3,0,2,2,11,0,0,24,1,1,1,0,0,0,0,0,12,2,3,0,1
Hyperthermus butylicus,0,4,5,3,2,5,0,0,9,2,4,0,1,0,5,0,3,12,1,4,3,2
Pyrodictium delaneyi,1,2,1,0,1,6,7,1,19,3,3,4,5,2,2,1,1,18,1,9,2,1
Pyrodictium occultum,5,6,5,1,1,13,1,1,4,3,14,0,3,2,2,0,0,17,0,4,0,1
Pyrolobus fumarii,13,1,3,3,2,25,11,10,20,9,9,4,7,8,4,3,17,35,2,12,3,1
Fervidicoccus fontis,0,3,1,4,2,12,0,1,17,4,3,0,2,2,0,2,12,19,5,3,0,2
Sulfolobales archaeon AZ1,0,6,0,0,0,10,2,0,19,1,2,2,3,1,1,1,4,17,0,2,0,2
Acidianus brierleyi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidianus hospitalis,1,1,1,2,5,10,0,0,15,0,1,0,1,1,6,4,2,4,11,8,1,4
Acidianus manzaensis,1,1,5,3,4,11,2,0,11,5,4,2,3,5,5,1,7,18,4,7,0,1
Acidianus tengchongensis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Acidianus copahuensis,0,0,0,4,3,19,0,0,12,1,0,0,1,1,0,0,1,23,2,0,2,1
Metallosphaera cuprina,0,1,4,1,5,6,0,1,8,3,4,2,1,2,1,4,5,15,10,5,1,2
Metallosphaera hakonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Metallosphaera sedula,4,0,1,2,9,12,1,1,11,0,1,0,4,0,1,2,2,20,1,6,5,1
Metallosphaera yellowstonensis,3,8,1,0,2,20,0,2,10,2,9,2,3,4,0,6,3,21,1,7,0,7
Sulfolobus acidocaldarius,3,9,4,7,2,12,3,4,22,1,12,10,3,54,4,2,7,36,4,11,6,6
Sulfolobus islandicus,6,7,1,12,8,21,1,5,18,8,7,0,7,4,3,8,13,20,9,8,3,1
Sulfolobus metallicus,1,0,0,0,3,8,1,0,7,3,2,1,3,1,2,2,1,5,3,1,1,2
Sulfolobus shibatae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sulfolobus solfataricus,0,0,0,1,5,5,2,0,7,2,2,1,0,2,1,0,2,8,2,3,0,2
Sulfolobus sp. A20,5,4,0,7,6,12,1,1,13,10,5,2,6,9,3,8,14,20,15,6,3,4
Sulfolobus sp. JCM 16833,2,1,4,1,2,4,1,0,6,1,4,1,2,3,1,1,1,8,1,4,0,0
Sulfolobus tokodaii,0,3,0,1,4,12,0,3,9,3,6,0,0,4,0,0,3,15,1,10,2,3
Thermofilum adornatus,0,0,1,0,0,3,0,0,0,2,0,1,1,0,0,0,1,3,0,0,0,0
Thermofilum carboxyditrophus,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,1,0,0
Thermofilum pendens,6,2,2,2,2,14,5,2,12,4,7,4,6,5,9,5,5,16,4,10,1,5
Thermofilum uzonense,0,2,2,1,4,17,0,3,20,2,2,4,4,0,0,0,3,26,0,7,0,1
Caldivirga maquilingensis,3,2,0,2,3,10,2,1,15,2,3,11,2,2,3,7,12,19,2,2,7,3
Caldivirga sp. JCHS_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Caldivirga sp. MU80,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0
uncultured Caldivirga sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pyrobaculum aerophilum,3,1,3,0,0,11,1,2,0,3,2,0,1,1,0,0,1,10,0,0,1,2
Pyrobaculum arsenaticum,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0
Pyrobaculum calidifontis,1,3,0,2,1,5,2,2,3,1,3,0,1,6,1,1,3,7,1,16,4,1
Pyrobaculum ferrireducens,0,0,0,0,0,5,0,4,6,1,10,4,3,1,0,2,6,10,0,3,2,3
Pyrobaculum islandicum,0,0,0,0,0,13,0,0,10,2,3,0,0,1,2,0,1,4,1,3,0,1
Pyrobaculum neutrophilum,0,0,0,1,0,7,0,2,4,4,5,0,4,2,1,5,1,10,2,2,0,3
Pyrobaculum oguniense,0,2,0,0,1,5,1,0,3,0,0,1,0,0,0,0,0,4,0,0,0,1
Pyrobaculum sp. JCHS_4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
Pyrobaculum sp. OCT_11,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,3,0,0,1,1
Pyrobaculum sp. WP30,1,0,1,0,1,5,3,0,4,0,3,0,1,1,3,0,0,5,0,2,0,0
Thermocladium modestius,1,1,0,0,0,4,0,1,5,0,8,0,0,0,1,3,3,5,0,2,0,3
Thermocladium sp. ECH_B,1,4,0,1,3,9,2,1,9,0,3,1,1,0,1,1,7,13,2,1,0,2
Thermoproteus sp. AZ2,0,3,0,0,0,7,1,1,7,1,4,0,1,0,0,1,4,5,5,2,1,1
Thermoproteus sp. CIS_19,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Thermoproteus sp. CP80,0,0,0,0,0,2,0,0,6,0,0,0,0,0,3,0,0,10,0,3,0,0
Thermoproteus sp. IC-061,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoproteus sp. IC-062,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0
Thermoproteus sp. JCHS_4,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
Thermoproteus tenax,6,2,4,2,8,9,0,1,17,2,2,1,0,1,2,0,2,12,5,8,0,4
Thermoproteus uzoniensis,0,1,0,0,2,6,1,0,7,1,3,0,1,0,2,0,4,10,1,4,1,1
Vulcanisaeta distributa,0,1,0,9,4,9,0,0,5,4,2,0,0,2,7,1,6,9,0,3,0,1
Vulcanisaeta moutnovskia,2,1,2,3,0,28,0,0,7,1,5,0,0,0,0,2,1,12,0,0,2,0
Vulcanisaeta sp. AZ3,0,1,4,1,4,5,0,0,3,0,0,0,0,0,0,1,0,10,0,3,0,0
Vulcanisaeta sp. EB80,0,1,0,0,1,5,0,0,3,0,1,0,3,0,0,1,0,1,1,0,0,0
Vulcanisaeta sp. JCHS_4,0,1,0,0,0,2,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0
Vulcanisaeta sp. MG_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vulcanisaeta sp. OSP_8,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Vulcanisaeta thermophila,8,1,0,5,2,10,0,0,10,2,4,0,3,2,4,0,2,25,1,2,0,5
uncultured Vulcanisaeta sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Archaeoglobus fulgidus,2,20,2,8,12,61,2,0,41,7,14,4,12,3,1,2,8,52,3,20,2,8
Archaeoglobus profundus,2,2,2,3,13,37,2,2,27,7,18,0,12,0,2,2,11,35,1,8,1,4
Archaeoglobus sulfaticallidus,0,6,4,2,10,25,3,2,41,13,20,5,4,6,1,3,5,25,5,19,1,12
Archaeoglobus veneficus,4,4,1,3,4,40,1,1,46,4,8,5,7,2,4,1,8,44,3,22,1,5
Ferroglobus placidus,0,17,1,1,4,59,2,10,52,8,9,2,4,2,3,2,3,58,3,14,0,0
Geoglobus acetivorans,9,8,2,4,8,30,7,6,23,16,4,2,10,6,8,7,16,45,29,14,15,4
Geoglobus ahangari,7,7,0,4,9,17,4,3,24,8,6,0,6,4,4,2,9,41,3,10,7,1
Candidatus Thalassoarchaea marina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,0,0
uncultured Candidatus Thalassoarchaea euryarchaeote,3,17,3,4,16,51,0,2,35,2,8,5,5,5,7,3,6,63,1,89,3,14
Hadesarchaea archaeon DG-33-1,0,4,3,2,4,36,2,0,33,2,0,0,5,0,7,3,1,44,0,9,0,1
Hadesarchaea archaeon DG-33,0,3,0,5,1,31,5,1,22,5,1,0,2,1,5,0,1,32,0,11,4,3
Hadesarchaea archaeon YNP_45,2,6,0,3,7,40,3,6,43,5,5,5,2,3,2,1,9,63,3,13,0,6
Hadesarchaea archaeon YNP_N21,5,9,3,5,8,43,0,6,49,5,5,8,8,6,3,4,17,34,4,25,1,5
Halapricum salinum,3,9,0,4,3,14,2,4,27,2,3,1,2,1,5,5,6,53,6,13,2,4
Haloarcula amylolytica,0,2,1,0,0,4,0,1,2,1,1,0,0,0,0,1,3,1,0,0,0,2
Haloarcula argentinensis,1,2,0,0,0,5,2,0,2,0,2,4,1,1,0,0,3,17,0,0,0,1
Haloarcula californiae,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Haloarcula hispanica,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Haloarcula japonica,0,4,0,1,1,2,0,1,5,0,2,0,0,0,0,1,2,7,1,2,0,0
Haloarcula marismortui,4,1,0,0,0,3,0,3,0,0,0,0,2,0,0,0,2,0,1,1,0,0
Haloarcula rubripromontorii,0,6,1,0,6,1,1,0,7,0,2,0,0,1,0,0,0,9,0,5,0,0
Haloarcula sinaiiensis,0,6,0,1,2,8,0,0,5,0,6,0,1,0,2,1,0,3,0,9,0,2
Haloarcula sp. CBA1127,0,1,0,0,0,5,0,0,3,0,1,1,1,0,1,1,0,2,1,3,0,1
Haloarcula sp. K1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,2,0,1,0,0
Haloarcula vallismortis,0,1,0,0,1,2,0,1,9,0,0,0,0,0,0,0,2,10,0,1,0,1
Halomicrobium katesii,1,2,0,0,2,8,0,0,4,0,0,2,1,0,4,1,3,9,0,2,0,2
Halomicrobium mukohataei,1,2,0,5,1,5,0,0,6,1,0,2,2,7,0,0,0,8,0,3,0,3
Halomicrobium zhouii,9,11,3,4,2,40,1,3,18,5,9,1,7,2,4,3,3,52,6,16,0,5
Halorhabdus tiamatea,6,6,2,3,1,6,7,0,9,0,4,1,2,6,0,1,5,15,1,12,0,7
Halorhabdus utahensis,2,4,0,3,3,13,1,5,16,0,7,3,3,2,1,4,5,22,3,6,3,14
uncultured Halorhabdus sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Halorientalis persicus,2,4,6,6,4,3,2,3,18,3,2,2,7,3,1,4,6,15,2,10,1,0
Halorientalis regularis,0,1,4,0,6,11,11,2,6,2,0,0,2,6,5,1,2,19,4,4,1,1
Halorientalis sp. IM1011,1,1,2,0,0,11,6,1,8,0,7,2,1,1,4,6,4,18,1,2,0,2
Halosimplex carlsbadense,3,8,1,4,2,20,6,2,20,1,8,1,4,7,10,4,7,60,6,12,3,12
Natronomonas moolapensis,1,3,3,2,0,18,2,1,11,3,7,2,1,0,3,4,8,19,6,6,0,4
Natronomonas pharaonis,3,3,0,6,3,10,1,1,7,0,3,2,2,2,3,2,1,19,2,8,1,3
Natronomonas sp. CBA1134,2,10,3,4,6,28,0,0,16,0,4,1,7,2,3,0,5,73,1,5,6,6
Haladaptatus cibarius,2,1,2,3,2,6,1,5,5,3,1,2,1,1,0,3,0,29,0,6,1,3
Haladaptatus litoreus,1,5,1,2,8,12,4,0,16,4,8,3,1,1,0,0,0,61,6,6,1,3
Haladaptatus paucihalophilus,1,7,0,2,3,11,3,1,14,1,4,6,3,0,2,0,2,32,1,0,0,2
Haladaptatus sp. R4,1,4,0,3,3,12,0,3,20,1,5,1,3,0,1,2,0,57,3,17,1,2
Haladaptatus sp. W1,1,0,0,0,0,3,2,1,6,0,1,1,4,1,3,2,0,46,0,4,0,2
Halalkalicoccus jeotgali,1,5,1,3,2,15,1,0,8,2,2,1,4,0,3,0,3,32,0,10,0,0
Halalkalicoccus paucihalophilus,2,6,4,3,6,12,3,2,10,0,7,5,1,0,1,2,2,42,5,9,1,4
Halarchaeum acidiphilum,4,9,7,4,2,8,5,1,12,2,5,2,2,0,1,3,2,23,4,5,2,2
Haloarchaeobius iranensis,7,3,5,1,8,17,4,0,17,4,2,3,4,3,5,0,7,32,2,12,1,2
Halobacterium hubeiense,0,2,2,1,3,5,2,2,4,0,3,0,0,0,1,1,5,19,2,9,0,1
Halobacterium jilantaiense,5,4,2,3,21,12,1,4,12,8,2,3,1,4,13,7,13,24,8,10,16,9
Halobacterium salinarum,1,3,0,0,3,5,0,0,11,0,5,3,0,0,0,2,0,23,1,3,0,1
Halobacterium sp. CBA1132,0,6,1,1,0,3,2,1,6,0,2,1,2,0,0,0,0,28,1,5,0,2
Halobacterium sp. DL1,1,10,1,1,1,13,3,1,29,1,14,0,2,3,2,1,3,35,3,9,0,1
Halodesulfurarchaeum formicicum,4,6,1,2,6,31,4,4,21,1,20,1,2,5,2,3,2,34,3,15,0,12
Halovenus aranensis,7,5,1,1,0,21,2,3,20,3,4,1,8,1,1,2,4,38,3,9,1,6
uncultured haloarchaeon FLAS10H9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uncultured haloarchaeon,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0
Halococcus agarilyticus,0,5,0,2,2,3,1,1,15,0,3,3,1,0,0,1,0,15,0,7,0,1
Halococcus hamelinensis,5,4,5,5,7,9,2,8,11,4,5,3,3,3,7,0,8,33,6,6,0,5
Halococcus morrhuae,0,0,2,0,0,2,0,0,6,1,3,0,0,0,0,0,0,11,0,2,0,3
Halococcus saccharolyticus,0,2,2,1,1,19,0,1,7,2,3,0,2,1,1,0,1,22,1,6,0,0
Halococcus salifodinae,0,0,1,0,0,11,0,3,18,0,2,0,0,4,1,2,2,22,1,8,0,3
Halococcus sediminicola,3,4,6,0,0,10,3,3,22,2,1,1,2,1,4,5,3,51,2,11,2,0
Halococcus thailandensis,8,3,4,5,3,5,0,9,6,8,6,1,3,2,12,0,10,18,18,14,2,11
Candidatus Halobonum tyrrellensis,2,5,1,5,2,16,2,2,13,0,3,0,5,0,2,6,6,53,4,12,2,4
Halanaeroarchaeum sulfurireducens,4,2,3,1,9,17,1,0,5,3,3,1,2,1,3,5,4,30,2,6,2,3
Halocalculus aciditolerans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
haloarchaeon 3A1_DGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0
halophilic archaeon J07HB67,1,3,0,2,1,17,1,1,13,0,6,2,0,1,2,1,4,23,2,11,0,1
halophilic archaeon J07HX5,1,5,5,11,29,12,0,1,0,17,7,0,4,2,5,4,12,9,16,4,0,2
halophilic archaeon J07HX64,0,5,0,6,0,9,2,2,13,1,5,3,2,0,0,1,3,21,5,6,1,8
Halobellus clavatus,1,5,2,1,1,18,0,0,6,2,22,1,5,4,7,1,4,29,1,10,7,0
Halobellus limi,0,4,0,2,1,25,0,2,17,4,9,2,1,0,3,1,7,27,1,4,0,2
Halobellus ramosii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halobellus rufus,3,2,2,9,3,6,0,6,12,3,2,0,4,1,0,2,4,32,9,9,1,2
Haloferax alexandrinus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
