ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
miscellaneous Crenarchaeota group archaeon SMTZ1-55,0.0,3.0,4.0,3.0,0.0,14.0,0.0,2.0,26.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,2.0,29.0,3.0,7.0,1.0,5.0
miscellaneous Crenarchaeota group-1 archaeon SG8-32-1,1.0,7.0,3.0,7.0,8.0,40.0,0.0,0.0,79.0,3.0,14.0,3.0,1.0,1.0,3.0,3.0,8.0,20.0,7.0,34.0,0.0,2.0
miscellaneous Crenarchaeota group-1 archaeon SG8-32-3,2.0,9.0,5.0,3.0,2.0,19.0,1.0,0.0,51.0,6.0,19.0,0.0,3.0,2.0,3.0,1.0,1.0,5.0,0.0,17.0,1.0,8.0
miscellaneous Crenarchaeota group-15 archaeon DG-45,0.0,11.0,1.0,6.0,6.0,20.0,1.0,6.0,17.0,5.0,4.0,0.0,6.0,1.0,1.0,3.0,4.0,29.0,0.0,12.0,1.0,4.0
miscellaneous Crenarchaeota group-6 archaeon AD8-1,0.0,11.0,5.0,5.0,11.0,31.0,1.0,2.0,74.0,8.0,20.0,0.0,1.0,2.0,8.0,3.0,8.0,27.0,2.0,43.0,1.0,7.0
uncultured marine crenarchaeote E37-7F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
uncultured marine crenarchaeote E48-1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
uncultured marine crenarchaeote E6-3G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uncultured miscellaneous Crenarchaeota group,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
Candidatus Korarchaeum cryptofilum,2.0,6.0,1.0,4.0,2.0,15.0,1.0,0.0,25.0,0.0,9.0,0.0,0.0,1.0,7.0,0.0,6.0,28.0,2.0,5.0,4.0,2.0
uncultured korarchaeote,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
Lokiarchaeum sp. GC14_75,20.0,24.0,11.0,14.0,18.0,104.0,11.0,8.0,62.0,13.0,34.0,4.0,13.0,7.0,17.0,14.0,27.0,108.0,20.0,69.0,6.0,14.0
Candidatus Lokiarchaeota archaeon CR_4,6.0,30.0,7.0,15.0,12.0,60.0,1.0,11.0,93.0,16.0,15.0,4.0,11.0,7.0,14.0,7.0,23.0,50.0,12.0,47.0,2.0,17.0
Candidatus Micrarchaeum acidiphilum,8.0,15.0,4.0,2.0,7.0,13.0,6.0,11.0,28.0,14.0,10.0,7.0,10.0,15.0,13.0,6.0,16.0,36.0,12.0,8.0,6.0,5.0
Candidatus Micrarchaeum sp. AZ1,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0
Candidatus Micrarchaeota archaeon CG1_02_47_40,4.0,4.0,0.0,13.0,8.0,60.0,1.0,6.0,91.0,9.0,12.0,2.0,3.0,6.0,9.0,6.0,9.0,93.0,19.0,18.0,4.0,4.0
Candidatus Micrarchaeota archaeon CG1_02_49_24,5.0,6.0,1.0,0.0,1.0,35.0,1.0,4.0,84.0,3.0,9.0,0.0,4.0,2.0,8.0,3.0,5.0,68.0,1.0,17.0,2.0,3.0
Candidatus Micrarchaeota archaeon CG1_02_51_15,1.0,8.0,0.0,5.0,5.0,39.0,1.0,0.0,57.0,1.0,9.0,0.0,1.0,1.0,1.0,2.0,7.0,47.0,2.0,8.0,1.0,1.0
Candidatus Micrarchaeota archaeon CG1_02_55_22,2.0,8.0,4.0,4.0,2.0,53.0,0.0,1.0,84.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,11.0,91.0,2.0,13.0,1.0,3.0
Candidatus Micrarchaeota archaeon CG1_02_55_41,1.0,3.0,0.0,6.0,1.0,39.0,1.0,0.0,40.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,48.0,1.0,11.0,1.0,2.0
Candidatus Micrarchaeota archaeon CG1_02_60_51,0.0,10.0,1.0,0.0,1.0,43.0,1.0,0.0,58.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,51.0,0.0,8.0,0.0,1.0
Candidatus Micrarchaeota archaeon RBG_16_36_9,1.0,9.0,0.0,5.0,1.0,91.0,0.0,1.0,130.0,4.0,19.0,2.0,3.0,1.0,7.0,0.0,4.0,76.0,3.0,34.0,2.0,8.0
Candidatus Micrarchaeota archaeon RBG_16_49_10,3.0,2.0,1.0,5.0,0.0,48.0,0.0,1.0,61.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,5.0,54.0,1.0,10.0,4.0,0.0
Candidatus Nanosalina sp. J07AB43,2.0,1.0,2.0,22.0,3.0,24.0,0.0,1.0,23.0,8.0,1.0,2.0,4.0,2.0,2.0,7.0,2.0,27.0,12.0,5.0,9.0,0.0
Candidatus Nanosalinarum sp. J07AB56,1.0,3.0,0.0,0.0,11.0,18.0,0.0,0.0,19.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0,1.0,2.0
Candidatus Haloredivivus sp. G17,0.0,4.0,2.0,0.0,6.0,16.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,3.0,0.0,2.0
Nanohaloarchaea archaeon SG9,0.0,2.0,1.0,2.0,7.0,22.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,9.0,0.0,1.0
Candidatus Odinarchaeota archaeon LCB_4,1.0,1.0,0.0,5.0,3.0,27.0,1.0,0.0,26.0,6.0,6.0,2.0,6.0,3.0,4.0,4.0,9.0,23.0,6.0,7.0,2.0,8.0
Candidatus Parvarchaeum acidiphilum,1.0,1.0,0.0,1.0,0.0,28.0,3.0,2.0,22.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,10.0,0.0,1.0
Candidatus Parvarchaeum acidophilus,2.0,3.0,1.0,1.0,4.0,11.0,3.0,1.0,19.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,6.0,3.0,1.0,4.0
Candidatus Thorarchaeota archaeon AB_25,14.0,4.0,1.0,6.0,12.0,22.0,3.0,9.0,19.0,7.0,19.0,3.0,4.0,5.0,11.0,9.0,6.0,39.0,13.0,22.0,9.0,11.0
Candidatus Thorarchaeota archaeon SMTZ-45,3.0,30.0,0.0,1.0,6.0,15.0,1.0,5.0,37.0,2.0,11.0,3.0,2.0,0.0,1.0,0.0,3.0,24.0,0.0,46.0,0.0,3.0
Candidatus Thorarchaeota archaeon SMTZ1-45,2.0,4.0,1.0,5.0,3.0,19.0,0.0,1.0,10.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,8.0,41.0,2.0,9.0,2.0,5.0
Candidatus Thorarchaeota archaeon SMTZ1-83,4.0,11.0,9.0,6.0,5.0,45.0,4.0,1.0,31.0,2.0,33.0,7.0,4.0,8.0,3.0,0.0,12.0,71.0,2.0,28.0,1.0,8.0
Candidatus Woesearchaeota archaeon CG1_02_33_12,19.0,32.0,2.0,10.0,46.0,620.0,4.0,4.0,574.0,5.0,37.0,6.0,4.0,4.0,12.0,6.0,16.0,305.0,6.0,159.0,4.0,13.0
Candidatus Woesearchaeota archaeon CG1_02_47_18,0.0,19.0,0.0,8.0,10.0,465.0,0.0,1.0,346.0,2.0,8.0,4.0,2.0,0.0,4.0,4.0,2.0,264.0,3.0,76.0,2.0,3.0
Candidatus Woesearchaeota archaeon CG1_02_57_44,6.0,14.0,5.0,12.0,27.0,300.0,3.0,2.0,302.0,16.0,10.0,4.0,11.0,8.0,26.0,10.0,15.0,307.0,24.0,107.0,3.0,3.0
Candidatus Woesearchaeota archaeon RBG_13_36_6,2.0,8.0,1.0,2.0,10.0,222.0,0.0,2.0,194.0,1.0,8.0,2.0,2.0,7.0,3.0,2.0,3.0,134.0,2.0,41.0,15.0,3.0
Crenarchaeota archaeon 13_1_20CM_2_51_8,0.0,4.0,4.0,0.0,6.0,14.0,0.0,1.0,13.0,4.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,41.0,0.0,4.0,0.0,2.0
Crenarchaeota archaeon 13_1_20CM_2_53_14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Crenarchaeota archaeon 13_1_40CM_2_52_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Crenarchaeota archaeon 13_1_40CM_3_52_10,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,5.0
Crenarchaeota archaeon 13_1_40CM_3_52_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Crenarchaeota archaeon 13_1_40CM_3_52_4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Crenarchaeota archaeon 13_1_40CM_3_53_5,0.0,3.0,0.0,1.0,2.0,7.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,3.0,0.0,4.0
uncultured crenarchaeote 29d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
uncultured crenarchaeote 57a5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
uncultured crenarchaeote 76h13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
uncultured crenarchaeote DeepAnt-EC39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
uncultured crenarchaeote MCG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0
uncultured crenarchaeote,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,3.0,2.0,1.0
uncultured marine crenarchaeote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acidilobus saccharovorans,2.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,14.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0
Acidilobus sp. 7A,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,9.0,1.0,0.0,0.0,1.0
uncultured Acidilobus sp. CIS,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0
uncultured Acidilobus sp. JCHS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
uncultured Acidilobus sp. MG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
uncultured Acidilobus sp. OSP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Caldisphaera lagunensis,6.0,7.0,4.0,11.0,8.0,8.0,0.0,8.0,20.0,9.0,2.0,6.0,8.0,9.0,8.0,13.0,11.0,16.0,15.0,3.0,3.0,2.0
Aeropyrum camini,0.0,0.0,6.0,6.0,8.0,13.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,0.0,8.0,5.0,3.0,14.0,6.0,1.0,0.0,3.0
Aeropyrum pernix,3.0,4.0,0.0,3.0,17.0,16.0,0.0,1.0,7.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,32.0,2.0,12.0,1.0,2.0
Desulfurococcus amylolyticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfurococcus fermentans,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Desulfurococcus kamchatkensis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Desulfurococcus mobilis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Desulfurococcus mucosus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Ignicoccus hospitalis,2.0,2.0,1.0,2.0,1.0,17.0,0.0,2.0,15.0,7.0,6.0,1.0,3.0,0.0,1.0,4.0,5.0,20.0,5.0,2.0,0.0,1.0
Ignicoccus islandicus,0.0,1.0,1.0,8.0,3.0,16.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,4.0,0.0,0.0
Ignisphaera aggregans,2.0,8.0,1.0,8.0,3.0,14.0,1.0,0.0,16.0,3.0,12.0,4.0,3.0,1.0,1.0,1.0,14.0,18.0,1.0,9.0,4.0,1.0
uncultured Ignisphaera sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Desulfurococcaceae archaeon EBI-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Staphylothermus hellenicus,0.0,1.0,0.0,1.0,4.0,5.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0
Staphylothermus marinus,2.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0
Thermogladius cellulolyticus,1.0,1.0,3.0,1.0,4.0,13.0,0.0,2.0,13.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,3.0,21.0,2.0,9.0,3.0,1.0
Thermosphaera aggregans,2.0,3.0,0.0,2.0,2.0,11.0,0.0,0.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,0.0,1.0
Hyperthermus butylicus,0.0,4.0,5.0,3.0,2.0,5.0,0.0,0.0,9.0,2.0,4.0,0.0,1.0,0.0,5.0,0.0,3.0,12.0,1.0,4.0,3.0,2.0
Pyrodictium delaneyi,1.0,2.0,1.0,0.0,1.0,6.0,7.0,1.0,19.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,18.0,1.0,9.0,2.0,1.0
Pyrodictium occultum,5.0,6.0,5.0,1.0,1.0,13.0,1.0,1.0,4.0,3.0,14.0,0.0,3.0,2.0,2.0,0.0,0.0,17.0,0.0,4.0,0.0,1.0
Pyrolobus fumarii,13.0,1.0,3.0,3.0,2.0,25.0,11.0,10.0,20.0,9.0,9.0,4.0,7.0,8.0,4.0,3.0,17.0,35.0,2.0,12.0,3.0,1.0
Fervidicoccus fontis,0.0,3.0,1.0,4.0,2.0,12.0,0.0,1.0,17.0,4.0,3.0,0.0,2.0,2.0,0.0,2.0,12.0,19.0,5.0,3.0,0.0,2.0
Sulfolobales archaeon AZ1,0.0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,19.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,17.0,0.0,2.0,0.0,2.0
Acidianus brierleyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidianus hospitalis,1.0,1.0,1.0,2.0,5.0,10.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,2.0,4.0,11.0,8.0,1.0,4.0
Acidianus manzaensis,1.0,1.0,5.0,3.0,4.0,11.0,2.0,0.0,11.0,5.0,4.0,2.0,3.0,5.0,5.0,1.0,7.0,18.0,4.0,7.0,0.0,1.0
Acidianus tengchongensis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Acidianus copahuensis,0.0,0.0,0.0,4.0,3.0,19.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,2.0,0.0,2.0,1.0
Metallosphaera cuprina,0.0,1.0,4.0,1.0,5.0,6.0,0.0,1.0,8.0,3.0,4.0,2.0,1.0,2.0,1.0,4.0,5.0,15.0,10.0,5.0,1.0,2.0
Metallosphaera hakonensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Metallosphaera sedula,4.0,0.0,1.0,2.0,9.0,12.0,1.0,1.0,11.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,2.0,20.0,1.0,6.0,5.0,1.0
Metallosphaera yellowstonensis,3.0,8.0,1.0,0.0,2.0,20.0,0.0,2.0,10.0,2.0,9.0,2.0,3.0,4.0,0.0,6.0,3.0,21.0,1.0,7.0,0.0,7.0
Sulfolobus acidocaldarius,3.0,9.0,4.0,7.0,2.0,12.0,3.0,4.0,22.0,1.0,12.0,10.0,3.0,54.0,4.0,2.0,7.0,36.0,4.0,11.0,6.0,6.0
Sulfolobus islandicus,6.0,7.0,1.0,12.0,8.0,21.0,1.0,5.0,18.0,8.0,7.0,0.0,7.0,4.0,3.0,8.0,13.0,20.0,9.0,8.0,3.0,1.0
Sulfolobus metallicus,1.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,7.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0
Sulfolobus shibatae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sulfolobus solfataricus,0.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,7.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,8.0,2.0,3.0,0.0,2.0
Sulfolobus sp. A20,5.0,4.0,0.0,7.0,6.0,12.0,1.0,1.0,13.0,10.0,5.0,2.0,6.0,9.0,3.0,8.0,14.0,20.0,15.0,6.0,3.0,4.0
Sulfolobus sp. JCM 16833,2.0,1.0,4.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0
Sulfolobus tokodaii,0.0,3.0,0.0,1.0,4.0,12.0,0.0,3.0,9.0,3.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,15.0,1.0,10.0,2.0,3.0
Thermofilum adornatus,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Thermofilum carboxyditrophus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Thermofilum pendens,6.0,2.0,2.0,2.0,2.0,14.0,5.0,2.0,12.0,4.0,7.0,4.0,6.0,5.0,9.0,5.0,5.0,16.0,4.0,10.0,1.0,5.0
Thermofilum uzonense,0.0,2.0,2.0,1.0,4.0,17.0,0.0,3.0,20.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,26.0,0.0,7.0,0.0,1.0
Caldivirga maquilingensis,3.0,2.0,0.0,2.0,3.0,10.0,2.0,1.0,15.0,2.0,3.0,11.0,2.0,2.0,3.0,7.0,12.0,19.0,2.0,2.0,7.0,3.0
Caldivirga sp. JCHS_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Caldivirga sp. MU80,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
uncultured Caldivirga sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pyrobaculum aerophilum,3.0,1.0,3.0,0.0,0.0,11.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,2.0
Pyrobaculum arsenaticum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Pyrobaculum calidifontis,1.0,3.0,0.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,6.0,1.0,1.0,3.0,7.0,1.0,16.0,4.0,1.0
Pyrobaculum ferrireducens,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,6.0,1.0,10.0,4.0,3.0,1.0,0.0,2.0,6.0,10.0,0.0,3.0,2.0,3.0
Pyrobaculum islandicum,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0
Pyrobaculum neutrophilum,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,4.0,4.0,5.0,0.0,4.0,2.0,1.0,5.0,1.0,10.0,2.0,2.0,0.0,3.0
